,ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
213,CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,46,6,44,N,64,40,43,W,71,46.112,-64.679
215,CYQQ,YQQ,COMOX,COMOX,CANADA,49,42,39,N,124,53,12,W,26,49.711,-124.887
216,CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,50,25,55,N,104,39,57,W,578,50.432,-104.666
217,CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,48,22,19,N,89,19,26,W,200,48.372,-89.324
218,CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,55,10,47,N,118,53,6,W,670,55.18,-118.885
219,CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,51,15,53,N,102,27,42,W,499,51.265,-102.462
220,CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,52,46,9,N,108,14,37,W,549,52.769,-108.244
221,CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,48,56,13,N,54,34,5,W,152,48.937,-54.568
222,CYQY,YQY,SYDNEY,SYDNEY,CANADA,46,9,41,N,60,2,52,W,62,46.161,-60.048
223,CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,53,1,34,N,122,30,36,W,546,53.026,-122.51
224,CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,74,43,1,N,94,58,10,W,66,74.717,-94.969
225,CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,47,45,52,N,69,35,5,W,131,47.764,-69.585
226,CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,48,31,12,N,72,15,56,W,179,48.52,-72.266
227,CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,52,25,47,N,114,54,15,W,989,52.43,-114.904
228,CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,62,48,41,N,92,6,57,W,29,62.811,-92.116
231,CYSB,YSB,SUDBURY,SUDBURY,CANADA,46,37,30,N,80,47,56,W,348,46.625,-80.799
232,CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,45,26,17,N,71,41,26,W,242,45.438,-71.691
235,CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,45,18,58,N,65,53,25,W,109,45.316,-65.89
237,CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,60,1,20,N,111,57,37,W,206,60.022,-111.96
238,CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,72,58,56,N,84,36,49,W,642,72.982,-84.614
240,CYSU,YSU,SUMMERSIDE,SUMMERSIDE,CANADA,46,26,34,N,63,49,52,W,18,46.443,-63.831
241,CYSY,YSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,71,59,38,N,125,14,33,W,86,71.994,-125.243
243,CYTE,YTE,CAPE DORSET,CAPE DORSET,CANADA,64,13,48,N,76,31,36,W,50,64.23,-76.527
244,CYTH,YTH,THOMPSON,THOMPSON,CANADA,55,48,4,N,97,51,51,W,223,55.801,-97.864
246,CYTR,YTR,TRENTON,TRENTON,CANADA,44,7,8,N,77,31,41,W,87,44.119,-77.528
247,CYTS,YTS,TIMMINS,TIMMINS,CANADA,48,34,11,N,81,22,36,W,295,48.57,-81.377
248,CYTZ,YTZ,CITY CENTRE,TORONTO,CANADA,43,37,39,N,79,23,46,W,77,43.627,-79.396
250,CYUB,YUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,69,26,0,N,133,1,35,W,5,69.433,-133.026
257,CYUL,YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,45,28,5,N,73,44,29,W,36,45.468,-73.741
261,CYUT,YUT,REPULSE BAY,REPULSE BAY,CANADA,66,31,17,N,86,13,29,W,25,66.521,-86.225
262,CYUX,YUX,HALL BEACH,HALL BEACH,CANADA,68,46,34,N,81,14,37,W,9,68.776,-81.244
263,CYUY,YUY,ROUYN NORANDA,ROUYN,CANADA,48,12,22,N,78,50,8,W,302,48.206,-78.836
264,CYVC,YVC,LA RONGE,LA RONGE,CANADA,55,9,5,N,105,15,43,W,379,55.151,-105.262
265,CYVG,YVG,VERMILION,VERMILLION,CANADA,53,21,21,N,110,49,26,W,618,53.356,-110.824
266,CYVM,YVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,67,32,45,N,64,1,53,W,7,67.546,-64.031
268,CYVO,YVO,VAL D OR,VAL D'OR,CANADA,48,3,12,N,77,46,58,W,338,48.053,-77.783
269,CYVP,YVP,KUUJJUAQ,QUUJJUAQ,CANADA,58,5,46,N,68,25,37,W,40,58.096,-68.427
270,CYVQ,YVQ,NORMAN WELLS,NORMAN WELLS,CANADA,65,16,57,N,126,48,1,W,74,65.282,-126.8
271,CYVR,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,49,11,42,N,123,10,55,W,5,49.195,-123.182
272,CYVT,YVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,55,50,31,N,108,25,3,W,441,55.842,-108.418
273,CYVV,YVV,WIARTON,WIARTON,CANADA,44,44,45,N,81,6,26,W,223,44.746,-81.107
274,CYWA,YWA,PETAWAWA,PETAWAWA,CANADA,45,57,8,N,77,19,9,W,131,45.952,-77.319
275,CYWG,YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,49,54,36,N,97,14,4,W,239,49.91,-97.234
276,CYWK,YWK,WABUSH,WABUSH,CANADA,52,55,19,N,66,51,52,W,552,52.922,-66.864
277,CYWL,YWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,52,10,59,N,122,3,15,W,941,52.183,-122.054
280,CYWY,YWY,WRIGLEY,WRIGLEY,CANADA,63,12,34,N,123,26,12,W,151,63.209,-123.437
281,CYXC,YXC,CRANBROOK,CRANBROOK,CANADA,49,36,37,N,115,46,57,W,940,49.61,-115.782
282,CYXD,YXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,53,34,21,N,113,31,14,W,671,53.573,-113.521
283,CYXE,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,52,10,15,N,106,41,59,W,504,52.171,-106.7
284,CYXH,YXH,MEDICINE HAT,MEDICINE HAT,CANADA,50,1,8,N,110,43,15,W,717,50.019,-110.721
286,CYXJ,YXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,56,14,17,N,120,44,25,W,695,56.238,-120.74
287,CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50,6,52,N,91,54,15,W,391,50.114,-91.904
289,CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66,8,42,N,65,42,49,W,23,66.145,-65.714
290,CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,47,41,42,N,79,50,56,W,244,47.695,-79.849
291,CYXS,YXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,53,53,22,N,122,40,44,W,691,53.889,-122.679
292,CYXT,YXT,TERRACE,TERRACE,CANADA,54,27,59,N,128,34,39,W,218,54.466,-128.577
293,CYXU,YXU,LONDON,LONDON,CANADA,43,2,8,N,81,9,14,W,278,43.036,-81.154
294,CYXX,YXX,ABBOTSFORD,ABBOTSFORD,CANADA,49,1,31,N,122,21,48,W,58,49.025,-122.363
295,CYXY,YXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,60,42,34,N,135,4,6,W,707,60.709,-135.068
296,CYYB,YYB,NORTH BAY,NORTH BAY,CANADA,46,21,49,N,79,25,22,W,371,46.364,-79.423
297,CYYC,YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,51,6,50,N,114,1,13,W,1085,51.114,-114.02
298,CYYD,YYD,SMITHERS,SMITHERS,CANADA,54,49,29,N,127,10,58,W,522,54.825,-127.183
299,CYYE,YYE,FORT NELSON,FORT NELSON,CANADA,58,50,11,N,122,35,49,W,382,58.836,-122.597
300,CYYF,YYF,PENTICTON,PENTICTON,CANADA,49,27,46,N,119,36,8,W,345,49.463,-119.602
301,CYYG,YYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,46,17,24,N,63,7,16,W,49,46.29,-63.121
302,CYYH,YYH,TALOYOAK,SPENCE BAY,CANADA,69,32,48,N,93,34,36,W,29,69.547,-93.577
303,CYYJ,YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,48,38,49,N,123,25,33,W,20,48.647,-123.426
304,CYYL,YYL,LYNN LAKE,LYNN LAKE,CANADA,56,51,50,N,101,4,34,W,357,56.864,-101.076
305,CYYN,YYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,50,17,31,N,107,41,26,W,817,50.292,-107.691
306,CYYQ,YYQ,CHURCHILL,CHURCHILL,CANADA,58,44,21,N,94,3,54,W,29,58.739,-94.065
307,CYYR,YYR,GOOSE BAY,GOOSE BAY,CANADA,53,19,9,N,60,25,33,W,49,53.319,-60.426
308,CYYT,YYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,47,37,7,N,52,45,7,W,141,47.619,-52.752
309,CYYU,YYU,KAPUSKASING,KAPUSKASING,CANADA,49,24,50,N,82,28,3,W,227,49.414,-82.468
310,CYYW,YYW,ARMSTRONG,ARMSTRONG,CANADA,50,17,25,N,88,54,35,W,323,50.29,-88.91
311,CYYY,YYY,MONT JOLI,MONT JOLI,CANADA,48,36,31,N,68,12,29,W,53,48.609,-68.208
312,CYYZ,YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,43,40,38,N,79,37,50,W,174,43.677,-79.631
314,CYZD,YZD,DOWNSVIEW,TORONTO,CANADA,43,44,33,N,79,27,56,W,199,43.742,-79.466
315,CYZE,YZE,GORE BAY MANITOULIN,GORE BAY,CANADA,45,53,7,N,82,34,4,W,194,45.885,-82.568
316,CYZF,YZF,YELLOWKNIFE,YELLOWKNIFE,CANADA,62,27,46,N,114,26,25,W,206,62.463,-114.44
317,CYZH,YZH,SLAVE LAKE,SLAVE LAKE,CANADA,55,17,36,N,114,46,42,W,583,55.293,-114.778
318,CYZP,YZP,SANDSPIT,SANDSPIT,CANADA,53,15,15,N,131,48,50,W,7,53.254,-131.814
319,CYZR,YZR,CHRIS HADFIELD,SARNIA,CANADA,42,59,58,N,82,18,32,W,182,42.999,-82.309
320,CYZT,YZT,PORT HARDY,PORT HARDY,CANADA,50,40,50,N,127,22,0,W,22,50.681,-127.367
321,CYZU,YZU,WHITECOURT,WHITECOURT,CANADA,54,8,38,N,115,47,12,W,783,54.144,-115.787
322,CYZV,YZV,SEPT ILES,SEPT-ILES,CANADA,50,13,24,N,66,15,56,W,55,50.223,-66.266
323,CYZW,YZW,TESLIN,TESLIN,CANADA,60,10,22,N,132,44,34,W,706,60.173,-132.743
324,CYZX,YZX,GREENWOOD,GREENWOOD,CANADA,44,59,4,N,64,55,1,W,29,44.984,-64.917
325,CZFA,ZFA,FARO,FARO,CANADA,62,12,27,N,133,22,33,W,717,62.208,-133.376
326,CZFM,ZFM,FORT MCPHERSON,FORT MCPHERSON,CANADA,67,24,28,N,134,51,37,W,44,67.408,-134.86
331,DAAE,BJA,SOUMMAM,BEJAJA,ALGERIA,36,42,43,N,5,4,11,E,7,36.712,5.07
333,DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36,41,27,N,3,12,55,E,25,36.691,3.215
334,DAAJ,DJG,TISKA,DJANET,ALGERIA,24,17,33,N,9,27,8,E,969,24.293,9.452
338,DAAP,VVZ,ILLIZI,ILLIZI,ALGERIA,26,34,24,N,8,29,1,E,542,26.573,8.484
340,DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,36,10,41,N,5,19,28,E,1025,36.178,5.324
341,DAAT,TMR,TAMANRASSET,TAMANRASSET,ALGERIA,22,48,39,N,5,27,3,E,1378,22.811,5.451
342,DAAV,GJL,JIJEL,JIJEL,ALGERIA,36,47,42,N,5,52,24,E,11,36.795,5.873
347,DABB,AAE,ANNABA,ANNABA,ALGERIA,36,49,20,N,7,48,33,E,5,36.822,7.809
348,DABC,CZL,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36,16,36,N,6,37,26,E,691,36.277,6.624
