,IATA Code,Airport Name,Latitude Decimal Degrees,Longitude Decimal Degrees,City
1017,DLH,DULUTH INTERNATIONAL,46.842,-92.194,duluth
1018,DMA,DAVIS MONTHAN AFB,32.166,-110.883,tucson
1019,DOV,DOVER AFB,39.13,-75.466,dover
1020,DPA,DU PAGE,41.908,-88.249,west chicago
1021,DRI,BEAUREGARD PARISH,30.832,-93.34,deridder
1022,DRO,DURANGO LA PLATA CO,37.151,-107.754,durango
1023,DRT,DEL RIO INTERNATIONAL,29.373,-100.926,del rio
1024,DSM,DES MOINES INTERNATIONAL,41.534,-93.663,des moines
1025,DTW,DETROIT METRO WAYNE CO,42.212,-83.353,detroit
1026,DUG,BISBEE DOUGLAS INTERNATIONAL,31.469,-109.604,douglas
1027,DYS,DYESS AFB,32.421,-99.854,abilene
1028,ECG,ELIZABETH CITY CGAS RGNL,36.261,-76.174,elizabeth city
1029,EDW,EDWARDS AFB,34.905,-117.884,edwards afb
1030,EFD,ELLINGTON FLD,29.607,-95.159,houston
1031,EGP,EAGLE PASS MUNI,28.7,-100.479,eagle pass
1032,EKN,ELKINS RANDOLPH CO JENNINGS RANDOLPH,38.889,-79.857,elkins
1033,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,33.221,-92.813,el dorado
1034,ELP,EL PASO INTERNATIONAL,31.807,-106.378,el paso
1035,END,VANCE AFB,36.34,-97.916,enid
1036,ENV,WENDOVER,40.719,-114.031,wendover
1037,ESF,ESLER RGNL,31.395,-92.296,alexandria
1038,EWN,CRAVEN CO RGNL,35.073,-77.043,new bern
1039,EWR,NEWARK LIBERTY INTERNATIONAL,40.692,-74.169,newark
1040,EYW,KEY WEST INTERNATIONAL,24.556,-81.759,key west
1041,FAF,FELKER AAF,37.133,-76.609,fort eustis
1042,FAT,FRESNO YOSEMITE INTERNATIONAL,36.776,-119.718,fresno
1043,FCS,BUTTS AAF,38.678,-104.756,fort carson
1044,FFO,WRIGHT PATTERSON AFB,39.826,-84.048,dayton
1045,FHU,SIERRA VISTA MUNI LIBBY AAF,31.588,-110.344,fort huachuca
1046,FLL,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,26.072,-80.153,fort lauderdale
1047,FLO,FLORENCE RGNL,34.185,-79.724,florence
1048,FLV,SHERMAN AAF,39.368,-94.914,fort leavenworth
1049,FMH,OTIS ANGB,41.658,-70.521,falmouth
1050,FMN,FOUR CORNERS RGNL,36.741,-108.23,farmington
1051,FMY,PAGE FLD,26.586,-81.863,fort myers
1052,FOD,FORT DODGE RGNL,42.551,-94.193,fort dodge
1053,FOE,FORBES FLD,38.951,-95.664,topeka
1054,FOK,THE FRANCIS S GABRESKI,40.844,-72.632,west hampton beach
1055,FRI,MARSHALL AAF,39.055,-96.764,fort riley
1056,FSI,HENRY POST AAF,34.65,-98.402,fort sill
1057,FSM,FORT SMITH RGNL,35.336,-94.367,fort smith
